ENTRY	GENE NAME	PROTEIN NAME	LOCATION
Q0JYD9	H16_B2453	Protoporphyrinogen oxidase (EC 1.3.3.4)	Cytoplasm
Q0KAI3	H16_A1887	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0K3H2	H16_B0655	Acyl CoA:acetate/3-ketoacid CoA transferase,alpha subunit (EC 2.8.3.-)	Cytoplasm
Q0KF72	H16_A0197	Predicted hydrolase or acyltransferase (EC 3.-.-.-)	Cytoplasm
Q0K8E6	H16_A2643	Spermidine synthase (EC 2.5.1.16)	Cytoplasm
Q0K9T0	pccB H16_A2144	Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	Cytoplasm
Q0K9P2	H16_A2182	Alkaline phosphatase (EC 3.1.3.1)	Cytoplasm
Q0K156	H16_B1480	Nitrilotriacetate monooxygenase component A (EC 1.14.13.-)	Cytoplasm
Q0K4I6	H16_B0287	Putative carboxylesterase (EC 3.1.1.-)	Cytoplasm
Q0K8Y7	glmM H16_A2445	Phosphoglucosamine mutase (EC 5.4.2.10)	Cytoplasm
P42721	cbbL2 cbbL cbxLP cfxLP PHG427	Ribulose bisphosphate carboxylase large chain, plasmid (RuBisCO large subunit) (EC 4.1.1.39)	Cytoplasm
Q0K2K2	gabT H16_B0981	4-Aminobutyrate aminotransferase (EC 2.6.1.19)	Cytoplasm
Q0K1H8	paaL2 H16_B1357	Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase)	Cytoplasm
Q0JYV6	pobA H16_B2286	p-Hydroxybenzoate hydroxylase, FAD dependent monooxygenase (EC 1.14.13.2)	Cytoplasm
Q0K192	prpD4 H16_B1444	2-Methylcitrate dehydratase (EC 4.2.1.79)	Cytoplasm
Q0K9S6	H16_A2148	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0K139	frcA H16_B1498	ABC-type transporter, ATPase component: CUT2 family, fructose specific (EC 3.6.3.-)	Cytoplasm
Q0JYR9	norB2 H16_B2323	Nitric oxide reductase qNor type (NorB2) (EC 1.7.99.7)	Cytoplasm
Q0KD37	H16_A0938	ABC-type transporter, ATPase component: CUT2 family (EC 3.6.3.17)	Cytoplasm
Q0K4A2	pimD H16_B0372	Pimeloyl-CoA dehydrogenase (Small subunit) (EC 1.3.1.62)	Cytoplasm
Q0K0M7	H16_B1662	Acyl-coenzyme A synthetase/AMP-(Fatty) acid ligase (EC 6.2.1.-)	Cytoplasm
Q0KCU3	ilvH H16_A1036	Acetolactate synthase III small subunit (EC 2.2.1.6)	Cytoplasm
Q0KAA7	benA H16_A1963	Benzoate 1,2-dioxygenase hydroxylase component,alpha subunit (EC 1.14.12.10)	Cytoplasm
Q0K6D6	ubiD2 H16_A3366	3-Octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)	Cytoplasm
Q0K723	H16_A3123	Cytochrome b561 (EC 1.2.2.2)	Cytoplasm
Q0K5K1	betA4 H16_A3663	Choline dehydrogenase (EC 1.1.99.1)	Cytoplasm
Q0K8S6	glpK H16_A2507	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	Cytoplasm
Q0KBS6	H16_A1410	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0K7D4	gnl1 H16_A3012	Gluconolactonase (EC 3.1.1.17)	Cytoplasm
Q0K1C8	H16_B1407	Putative acetyltransferase (GNAT) family (EC 2.3.1.-)	Cytoplasm
Q0KEE3	ldhA H16_A0478	Dehydrogenase related to lactate dehydrogenases (EC 1.1.1.-)	Cytoplasm
Q0K461	H16_B0414	Citrate synthase (EC 2.3.3.1)	Cytoplasm
Q0K0Z1	H16_B1546	2-Polyprenyl-6-methoxyphenol hydroxylase or related FAD-dependent oxidoreductase (EC 1.14.13.-)	Cytoplasm
Q0K495	H16_B0380	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0K2P4	cyp H16_B0939	Monooxygenase / Flavin Reductase (EC 1.14.14.1)	Cytoplasm
Q0K3G7	H16_B0660	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K7Y6	H16_A2807	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0K2Q5	H16_B0928	6-Carboxyhexanoate-CoA ligase (EC 6.2.1.14)	Cytoplasm
Q0KAV1	pdhA2 H16_A1753	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	Cytoplasm
Q0K651	engB H16_A3452	Probable GTP-binding protein EngB	Cytoplasm
Q0K7K9	fdhB1 H16_A2936	Formate dehydrogenase iron-sulfur subunit (EC 1.2.1.2)	Cytoplasm
Q0KER4	trpD2 H16_A0356	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	Cytoplasm
Q0JYV3	pcaB1 H16_B2289	3-Carboxy-cis,cis-muconate cyclo-isomerase (EC 5.5.1.2)	Cytoplasm
Q0K184	fdoG H16_B1452	Formate dehydrogenase alpha subunit (EC 1.2.1.2)	Cytoplasm
Q0K546	fmdA1 H16_B0072	Formamidase (EC 3.5.1.49)	Cytoplasm
Q0K3T6	poxC H16_B0541	Phenol hydroxylase P2 protein (EC 1.14.13.7)	Cytoplasm
Q0K548	amn H16_B0070	AMP nucleosidase (EC 3.2.2.4)	Cytoplasm
Q0K0J3	H16_B1696	Short Chain CoA Dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0KCW5	H16_A1014	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	Cytoplasm
Q0K8F8	sdhD H16_A2631	Succinate dehydrogenase (Hydrophobic anchor subunit) (EC 1.3.99.1)	Cytoplasm
Q0K355	H16_B0777	Flavoprotein FAD oxidoreductase	Cytoplasm
Q0K3S8	H16_B0549	4-Oxalocrotonate decarboxylase (EC 4.1.1.77)	Cytoplasm
Q0KBF9	H16_A1530	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K2P2	H16_B0941	NAD-dependent beta-hydroxyacid dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0KE17	lpxK H16_A0606	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	Cytoplasm
Q0K396	H16_B0731	Beta-ketoacyl-ACP reductase (EC 1.3.1.-)	Cytoplasm
Q0K0U6	codA H16_B1593	Cytosine deaminase (EC 3.5.4.1)	Cytoplasm
Q0K2R8	H16_B0914	Acyl-CoA transferase/carnitine dehydratase (EC 2.8.3.-)	Cytoplasm
Q0KFD4	birA H16_A0135	Biotin-(Acetyl-CoA carboxylase) ligase (EC 6.3.4.15)	Cytoplasm
Q0K650	hemB H16_A3453	Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)	Cytoplasm
Q0K3J5	H16_B0632	Two domain protein: GTP cyclohydrolase II (EC 4.1.2.-)	Cytoplasm
Q0KFN0	H16_A0039	N-Acetyltransferase (GNAT) family (EC 2.3.1.-)	Cytoplasm
Q0K1X1	eda H16_B1213	2-Keto-3-deoxy-6-phosphogluconate aldolase (EC 4.1.2.14)	Cytoplasm
Q0KAM8	folA1 H16_A1840	Dihydrofolate reductase (EC 1.5.1.3)	Cytoplasm
Q0K3M7	bphD H16_B0600	2,6-dioxo-6-phenylhexa-3-enoate hydrolase (EC 3.7.1.8)	Cytoplasm
Q0KAQ8	H16_A1809	Adenylate cyclase, family 3 (EC 4.6.1.1)	Cytoplasm
Q0K8I3	metB metZ H16_A2606	O-succinylhomoserine sulfhydrylase (OSH sulfhydrylase) (OSHS sulfhydrylase) (EC 2.5.1.-)	Cytoplasm
Q0K332	H16_B0800	Ring hydroxylating dioxygenase beta subunit (EC 1.-.-.-)	Cytoplasm
Q0KF92	H16_A0177	Carboxyltransferase	Cytoplasm
Q0K537	leuA2 leuA H16_B0081	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	Cytoplasm
Q0K4R1	H16_B0212	NAD-dependent aldehyde dehydrogenase (EC 1.2.1.3)	Cytoplasm
Q0K0X8	glgB H16_B1559	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	Cytoplasm
Q0K2A0	hpd H16_B1083	4-Hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	Cytoplasm
Q0K2X0	H16_B0862	Cytosine deaminase or related metal-dependent hydrolase (EC 3.5.4.-)	Cytoplasm
Q0KD60	purD H16_A0915	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	Cytoplasm
Q0K716	pntAb3 H16_A3130	NAD(P) transhydrogenase subunit alpha 2 (EC 1.6.1.2)	Cytoplasm
Q0K7Q4	H16_A2891	Protoporphyrinogen oxidase (EC 1.3.3.4)	Cytoplasm
Q0K697	H16_A3406	Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase (EC 3.6.1.17)	Cytoplasm
Q0KDP5	H16_A0728	Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains (EC 3.6.1.-)	Cytoplasm
Q0KC18	metY1 H16_A1313	O-Acetylhomoserine sulfhydrylase (EC 2.5.1.49)	Cytoplasm
Q0K0J8	H16_B1691	Phosphopantetheinyltransferase family protein (EC 3.1.2.-)	Cytoplasm
Q0K3T7	poxB H16_B0540	Phenol hydroxylase P1 protein (EC 1.14.13.7)	Cytoplasm
Q0K7A9	nadC H16_A3037	Quinolinate phosphoribosyl transferase (EC 2.4.2.19)	Cytoplasm
Q0K5R4	hyi2 H16_A3599	Hydroxypyruvate isomerase (EC 5.3.1.22)	Cytoplasm
Q0K9L5	H16_A2209	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	Cytoplasm
Q0KC16	H16_A1315	Putative acyltransferase (EC 2.3.1.-)	Cytoplasm
Q0KAL8	rfbD H16_A1850	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	Cytoplasm
Q0K1T4	H16_B1250	5-Carboxymethyl-2-hydroxymuconate isomerase (EC 5.3.3.10)	Cytoplasm
Q0K3F0	H16_B0677	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0K5F3	serA1 H16_A3712	D-3-Phosphoglycerate dehydrogenase (EC 1.1.1.95)	Cytoplasm
Q0K8X0	prpE H16_A2462	Propionate-CoA ligase (EC 6.2.1.17)	Cytoplasm
Q0KB57	nagH H16_A1632	Salicylate-5-hydroxylase small oxygenase component (EC 1.14.12.-)	Cytoplasm
Q0K9V9	alr H16_A2113	Alanine racemase (EC 5.1.1.1)	Cytoplasm
P19924	cfxP cbbPP PHG421	Phosphoribulokinase, plasmid (PRK) (PRKase) (EC 2.7.1.19) (Phosphopentokinase)	Cytoplasm
Q0K9U1	leuB2 H16_A2133	3-Isopropylmalate dehydrogenase (EC 1.1.1.85)	Cytoplasm
Q0K3E7	citE3 H16_B0680	Citrate lyase beta subunit (EC 4.1.3.6)	Cytoplasm
Q0KB40	H16_A1649	3-Demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)	Cytoplasm
Q0K2M2	pyk3 H16_B0961	Pyruvate kinase (EC 2.7.1.40)	Cytoplasm
Q0K335	H16_B0797	Cytosine deaminase-related enzyme (EC 3.5.4.12)	Cytoplasm
Q0KEG1	acaD H16_A0460	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KBM1	H16_A1465	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (EC 3.5.1.-)	Cytoplasm
Q0K479	H16_B0396	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K7L1	fdhC H16_A2934	Cytochrome b subunit of formate dehydrogenase (EC 1.2.1.2)	Cytoplasm
Q0K2V7	H16_B0875	Maleylpyruvate isomerase (EC 5.2.1.4)	Cytoplasm
Q0JYW7	leuC5 leuC H16_B2275	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	Cytoplasm
Q0K3Y1	H16_B0496	4-Hydroxyphenylacetate-3-hydroxylase (EC 4.2.1.120)	Cytoplasm
Q0K417	lldA H16_B0460	L-Lactate cytochrome reductase (EC 1.1.2.3)	Cytoplasm
Q0JZB3	H16_B2129	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit (EC 1.14.-.-)	Cytoplasm
Q0K9X0	ansB H16_A2102	L-Asparaginase (EC 3.5.1.1)	Cytoplasm
Q0JYJ5	H16_B2397	Acetyltransferase (EC 2.3.1.-)	Cytoplasm
Q0K198	H16_B1438	6-Carboxyhexanoate-CoA ligase (EC 6.2.1.14)	Cytoplasm
Q0JYW6	leuD5 leuD H16_B2276	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	Cytoplasm
Q0K7F8	ilvD H16_A2987	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	Cytoplasm
Q0K9M0	H16_A2204	Spermidine synthase (EC 2.5.1.16)	Cytoplasm
Q0K3L5	glxK H16_B0612	Glycerate kinase (EC 2.7.1.31)	Cytoplasm
Q0K848	thrB H16_A2744	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	Cytoplasm
Q0K8Z6	ppx H16_A2436	Exopolyphosphatase (EC 3.6.1.11)	Cytoplasm
Q0K8V9	H16_A2474	NADP oxidoreductase coenzyme F420-dependent (EC 1.1.1.-)	Cytoplasm
Q0K4J0	H16_B0283	UDP-glucose 4-epimerase (EC 5.1.3.2)	Cytoplasm
Q0K6I9	paaL1 H16_A3313	Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase)	Cytoplasm
Q0KAL4	manC1 H16_A1854	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.22)	Cytoplasm
Q0K499	cycR2 H16_B0376	Response regulator containing an adenylate cyclase effector domain (EC 4.6.1.1)	Cytoplasm
Q0K6S4	H16_A3222	Putative homoserine kinase type II (EC 2.7.1.39)	Cytoplasm
Q0K531	H16_B0087	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KDF7	dadA1 dadA H16_A0817	D-amino acid dehydrogenase (EC 1.4.99.-)	Cytoplasm
Q0K3B4	H16_B0713	Short-chain alcohol dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0K337	H16_B0795	Protocatechuate 3,4-dioxygenase (EC 1.13.11.3)	Cytoplasm
Q0K0E7	H16_B1745	Zinc-type alcohol dehydrogenase adhd (Aldehyde reductase) (EC 1.1.1.1)	Cytoplasm
Q0K980	rpiA H16_A2345	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	Cytoplasm
Q0JYY7	gloA5 H16_B2255	Lactoylglutathione lyase (EC 4.4.1.5)	Cytoplasm
Q0K1Y4	H16_B1199	Glycerol kinase (EC 2.7.1.30)	Cytoplasm
Q0KE08	hpaI1 H16_A0615	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)	Cytoplasm
Q0KCZ5	cpaF3 H16_A0983	Flp pilus assembly ATPase CpaF (EC 3.6.1.-)	Cytoplasm
Q0K7A1	H16_A3045	FAD Synthase	Cytoplasm
Q0K7G7	H16_A2978	Acyl-CoA synthetase (EC 6.2.1.-)	Cytoplasm
Q0K7Z8	H16_A2794	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0KB50	cysI2 H16_A1639	Sulfite reductase, beta subunit (Hemoprotein with two 4Fe-4S domains) (EC 1.8.2.1)	Cytoplasm
Q0K5S7	pat H16_A3586	Phosphinothricin N-acetyltransferase (EC 2.3.1.-)	Cytoplasm
Q0KCA1	H16_A1230	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0K0V4	catD2 H16_B1583	3-Oxoadipate enol-lactone hydrolase (EC 3.1.1.24)	Cytoplasm
Q0K7E6	cysI1 H16_A2999	Sulfite reductase, beta subunit (Hemoprotein with two 4Fe-4S domains) (EC 1.8.1.2)	Cytoplasm
Q0KDL6	adh H16_A0757	Alcohol dehydrogenase (EC 1.1.1.1) (EC 1.1.1.4) (EC 1.2.1.3)	Cytoplasm
Q0KFC2	H16_A0147	Predicted hydrolase or acyltransferase (Alpha/beta hydrolase superfamily)	Cytoplasm
Q0KF79	gloB1 H16_A0190	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	Cytoplasm
Q0JZA7	H16_B2135	Vanillate O-demethylase oxidoreductase (EC 1.14.13.-)	Cytoplasm
Q0K3S6	mhpF H16_B0551	Acetaldehyde dehydrogenase 1 (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating] 1)	Cytoplasm
Q0K3T3	poxF H16_B0544	Phenol hydroxylase P5 protein (EC 1.14.13.7)	Cytoplasm
Q0KF97	H16_A0172	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	Cytoplasm
Q0KAT0	H16_A1779	Thioredoxin reductase (EC 1.8.1.9)	Cytoplasm
Q0JZZ3	H16_B1899	Predicted acetyltransferase (EC 2.3.1.-)	Cytoplasm
Q0K3P7	H16_B0580	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K9Q3	phaB3 H16_A2171	Acetoacetyl-CoA reductase (EC 1.1.1.36)	Cytoplasm
Q0K3K0	cysH2 cysD H16_B0627	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)	Cytoplasm
Q0KBU8	glcD3 H16_A1387	Glycolate oxidase subunit GlcD (EC 1.1.3.15)	Cytoplasm
Q0KFM4	hisP H16_A0045	ABC-type transporter, ATPase component: PAAT family (EC 3.6.3.21)	Cytoplasm
Q0K522	eutB H16_B0096	Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)	Cytoplasm
Q0JZS5	folE H16_B1967	GTP cyclohydrolase I (EC 3.5.4.16)	Cytoplasm
Q0KCU0	pssA H16_A1039	Phosphatidylserine synthase (EC 2.7.8.8)	Cytoplasm
Q0K1Y8	adhC H16_B1195	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	Cytoplasm
Q0KC49	H16_A1282	Predicted GTPase (EC 3.6.1.-)	Cytoplasm
Q0KAX8	H16_A1719	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0K9F8	thrA H16_A2266	Homoserine dehydrogenase (EC 1.1.1.3)	Cytoplasm
Q0KE61	ilvE H16_A0561	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)	Cytoplasm
Q0KC72	H16_A1259	D-Galactarate dehydratase (EC 4.2.1.42)	Cytoplasm
Q0KDY2	fdsB H16_A0641	NAD-dependent formate dehydrogenase beta subunit (EC 1.2.1.2)	Cytoplasm
Q0K771	H16_A3075	D-Hydantoinase (EC 3.5.2.2)	Cytoplasm
Q0K022	xsc H16_B1870	Sulphoacetaldehyde acetyltransferase (TPP dependent) (EC 2.3.3.15)	Cytoplasm
Q0K371	H16_B0756	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0KBG2	pncA H16_A1527	Bifunctional Pyrazinamidase/Nicotinamidase (EC 3.5.1.19)	Cytoplasm
Q0K2Y2	H16_B0850	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	Cytoplasm
Q0KA59	H16_A2012	Putative thymidine phosphorylase 1 (EC 2.4.2.4) (TdRPase 1)	Cytoplasm
Q0K4S3	pcaF H16_B0200	Beta-ketoadipyl CoA thiolase (EC 2.3.1.16)	Cytoplasm
Q0KC75	H16_A1256	Malate/L-lactate dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0KAA2	catD1 H16_A1968	3-Oxoadipate enol-lactone hydrolase (EC 3.1.1.24)	Cytoplasm
Q0KCA5	lysC H16_A1225	Aspartokinase (EC 2.7.2.4)	Cytoplasm
Q0K6S3	H16_A3223	Uncharacterized protein	Cytoplasm
Q0K1X2	kdgK H16_B1212	2-Keto-3-deoxygluconate kinase (EC 2.7.1.45)	Cytoplasm
Q0K397	H16_B0730	Ring-hydroxylating dioxygenase (EC 1.14.-.-)	Cytoplasm
Q0KAS6	H16_A1785	Salicylate hydroxylase (EC 1.14.13.1)	Cytoplasm
Q0KE26	amiC H16_A0597	N-Acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	Cytoplasm
Q0K011	H16_B1881	Ornithine cyclodeaminase (EC 4.3.1.12)	Cytoplasm
Q0K2N5	H16_B0948	Uncharacterized NAD(FAD)-dependent dehydrogenase	Cytoplasm
Q0KAY1	H16_A1716	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0JZ80	H16_B2162	Aldehyde reductase, related to diketogulonate reductase (EC 1.1.1.21)	Cytoplasm
Q0KAW1	H16_A1736	Creatinine amidohydrolase (EC 3.5.2.10)	Cytoplasm
Q0K673	gltD H16_A3430	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	Cytoplasm
Q0KC94	leuD leuD1 H16_A1237	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	Cytoplasm
Q0KFF7	gatC H16_A0112	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-)	Cytoplasm
Q0K7R0	manB2 H16_A2885	Phosphomannomutase (EC 5.4.2.8)	Cytoplasm
Q0K494	H16_B0381	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0KEY8	paaH1 H16_A0282	3-Hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	Cytoplasm
Q0KAA8	benB H16_A1962	Benzoate 1,2-dioxygenase hydroxylase component,beta subunit (EC 1.14.12.10)	Cytoplasm
Q0JYX5	narJ2 H16_B2267	Respiratory nitrate reductase delta chain (NarJ) (EC 1.7.99.4)	Cytoplasm
Q0KCU2	ilvC H16_A1037	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	Cytoplasm
Q0KBX1	H16_A1363	Cytosine deaminase or related metal-dependent hydrolase (EC 3.5.4.-)	Cytoplasm
Q0K3K9	glnA2 H16_B0618	Glutamine synthetase (EC 6.3.1.2)	Cytoplasm
Q0KFG9	H16_A0100	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0K2L5	pcpA H16_B0968	6-Chlorohydroxyquinol-1,2-dioxygenase (EC 1.13.11.-)	Cytoplasm
Q0KDI0	tyrA H16_A0794	Prephenate dehydrogenase (EC 1.3.1.12)	Cytoplasm
Q0K3Y6	H16_B0491	Aminoacylase (EC 3.5.1.14)	Cytoplasm
Q0KE54	fba H16_A0568	Fructose-1,6-bisphosphate aldolase (FBP aldolase) (EC 4.1.2.13)	Cytoplasm
Q0K6X6	aroQ1 aroQ H16_A3170	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Cytoplasm
Q0K6D1	coxL5 H16_A3371	Aerobic-type carbon monoxide dehydrogenase homolog, large subunit (EC 1.-.-.-)	Cytoplasm
Q0K2R9	H16_B0913	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KCR0	H16_A1070	Acyl dehydratase (EC 4.2.1.-)	Cytoplasm
Q0K219	serB3 H16_B1164	Phosphoserine phosphatase (EC 3.1.3.3)	Cytoplasm
Q0JZ98	H16_B2144	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)	Cytoplasm
Q0K0N2	H16_B1657	3-Hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	Cytoplasm
Q0K182	fdoI H16_B1454	Formate dehydrogenase gamma subunit (EC 1.2.1.2)	Cytoplasm
Q0K6G3	hemA H16_A3339	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	Cytoplasm
Q0K5P7	uvrD3 rep H16_A3617	ATP-dependent DNA helicase Rep (EC 3.6.4.12)	Cytoplasm
Q0KAS5	H16_A1786	Maleylacetate reductase (EC 1.3.1.32)	Cytoplasm
Q0K6I3	trpE H16_A3319	Anthranilate synthase component 1 (EC 4.1.3.27)	Cytoplasm
Q0K9K7	aceB H16_A2217	Malate synthase (EC 2.3.3.9)	Cytoplasm
Q0K6F4	H16_A3348	Dihydrodipicolinate reductase	Cytoplasm
Q0KCU4	ilvB H16_A1035	Acetolactate synthase (EC 2.2.1.6)	Cytoplasm
Q0K5R5	H16_A3598	Glyoxylate carboligase (EC 4.1.1.47)	Cytoplasm
Q0K4A7	H16_B0367	Acyl-CoA transferase/carnitine dehydratase (EC 2.8.3.-)	Cytoplasm
Q0K1Z3	H16_B1190	3-hydroxyisobutyrate dehydrogenase (HIBADH) (EC 1.1.1.31)	Cytoplasm
Q0JYD3	aimE amiF H16_B2459	Formamidase (EC 3.5.1.49) (Formamide amidohydrolase)	Cytoplasm
Q0KEZ8	aptA H16_A0272	Omega-amino acid-pyruvate aminotransferase (EC 2.6.1.18)	Cytoplasm
Q0K195	gnl3 H16_B1441	Gluconolactonase (EC 3.1.1.17)	Cytoplasm
Q0KAT6	H16_A1772	Benzaldehyde dehydrogenase [NAD+] (EC 1.2.1.28)	Cytoplasm
Q0KE55	pyk1 H16_A0567	Pyruvate kinase (EC 2.7.1.40)	Cytoplasm
Q0K1Z2	mmsA3 H16_B1191	Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)	Cytoplasm
Q0K962	ispG H16_A2364	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	Cytoplasm
Q0K1Q6	H16_B1278	Predicted acetyltransferase (EC 2.3.1.-)	Cytoplasm
Q0K4H9	selD H16_B0295	Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)	Cytoplasm
Q0JZ86	H16_B2156	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0KC73	H16_A1258	D-Galactarate dehydratase (EC 4.2.1.42)	Cytoplasm
Q0K103	H16_B1534	Aldehyde dehydrogenase (NAD+) (EC 1.2.1.3)	Cytoplasm
Q0K3T1	H16_B0546	Catechol 2,3-dioxygenase (EC 1.13.11.2)	Cytoplasm
Q0K8L1	H16_A2577	Predicted phosphatase (EC 3.1.3.-)	Cytoplasm
Q0K7D7	asdA H16_A3009	Aminotransferase (EC 2.6.1.-)	Cytoplasm
Q0K5P2	sdaA H16_A3622	L-serine dehydratase (EC 4.3.1.17)	Cytoplasm
Q0K4Z1	H16_B0127	Glucarate dehydratase (EC 4.2.1.40)	Cytoplasm
Q0K4H3	H16_B0301	Threonine synthase (EC 4.2.3.1)	Cytoplasm
Q0K1H7	paaK2 H16_B1358	Phenylacetic acid degradation protein K,phenylacetaldehyde dehydrogenase (EC 1.2.1.39)	Cytoplasm
Q0K5C8	H16_A3737	Choline dehydrogenase (EC 1.1.99.1)	Cytoplasm
Q0K8Z8	sixA H16_A2434	Phosphohistidine phosphatase (EC 3.1.3.-)	Cytoplasm
